epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,446.859,0.51109,0.50332,1.00486,0.90524,0.96231,0.995,0.81272,0.67747,0.82939,1.46639,0.000561279,0.000561279,0.000561279
69,455.798,0.54951,0.53077,1.09247,0.88467,1,0.995,0.81171,0.73341,0.64252,1.52494,0.000544776,0.000544776,0.000544776
70,462.255,0.50499,0.4782,1.0318,0.88467,1,0.995,0.81171,0.73341,0.64252,1.52494,0.000528272,0.000528272,0.000528272
71,468.819,0.56,0.55961,1.03903,0.96737,1,0.995,0.85038,0.62685,0.43592,1.36708,0.000511769,0.000511769,0.000511769
72,475.852,0.58749,0.53084,1.09452,0.96737,1,0.995,0.85038,0.62685,0.43592,1.36708,0.000495266,0.000495266,0.000495266
73,483.203,0.49435,0.47558,0.96411,0.98035,1,0.995,0.85604,0.55517,0.37294,1.29424,0.000478762,0.000478762,0.000478762
74,489.825,0.47597,0.4779,0.9872,0.98035,1,0.995,0.85604,0.55517,0.37294,1.29424,0.000462259,0.000462259,0.000462259
75,497.129,0.45723,0.42757,0.99542,0.98025,1,0.995,0.87654,0.52386,0.39432,1.19486,0.000445756,0.000445756,0.000445756
76,504.625,0.51518,0.44903,1.02813,0.98025,1,0.995,0.87654,0.52386,0.39432,1.19486,0.000429253,0.000429253,0.000429253
77,511.001,0.48345,0.47812,0.99377,0.97817,1,0.995,0.90008,0.46629,0.33929,1.05495,0.000412749,0.000412749,0.000412749
78,519.157,0.50365,0.46268,1.01902,0.97817,1,0.995,0.90008,0.46629,0.33929,1.05495,0.000396246,0.000396246,0.000396246
79,527.219,0.48254,0.46908,1.00539,0.97844,1,0.995,0.88496,0.52112,0.34463,1.08176,0.000379743,0.000379743,0.000379743
80,534.448,0.47342,0.45727,0.9927,0.97844,1,0.995,0.88496,0.52112,0.34463,1.08176,0.000363239,0.000363239,0.000363239
81,541.287,0.46481,0.42835,0.98122,0.98247,1,0.995,0.9273,0.44626,0.32156,1.0098,0.000346736,0.000346736,0.000346736
82,549.306,0.45377,0.40833,0.99332,0.98247,1,0.995,0.9273,0.44626,0.32156,1.0098,0.000330233,0.000330233,0.000330233
83,556.9,0.46237,0.43469,0.99524,0.98386,1,0.995,0.93861,0.41091,0.30823,0.96774,0.000313729,0.000313729,0.000313729
84,566.573,0.46014,0.4464,1.02751,0.98386,1,0.995,0.93861,0.41091,0.30823,0.96774,0.000297226,0.000297226,0.000297226
85,575.228,0.51313,0.46232,0.98212,0.9851,1,0.995,0.93888,0.43212,0.30664,0.98434,0.000280723,0.000280723,0.000280723
